it	h	LC
271	3.5805	2.0099
272	4.2268	1.9289
273	3.561	1.9755
274	3.5999	2.0005
275	3.906	1.918
276	3.658	2.0403
277	3.9217	2.0406
278	3.798	2.1467
279	3.6023	2.0343
280	4.808	1.8869
281	4.6283	1.784
282	3.5609	1.8825
283	4.5861	1.7466
284	4.6547	1.7932
285	3.8102	1.9355
286	3.8473	1.9979
287	4.8074	1.8803
288	4.6601	1.9058
289	3.6537	1.8903
290	3.7522	1.8673
291	4.4836	1.7188
292	4.4892	1.7766
293	3.5487	2.0912
294	3.4713	2.0007
295	3.3795	1.8472
296	4.6307	1.8379
297	4.5907	1.7941
298	4.2246	1.9214
299	4.5371	1.7976
300	4.2258	1.8856
301	4.5983	1.7888
302	3.4169	1.8563
303	4.4768	1.7901
304	4.6843	1.9059
305	4.1356	2.0897
306	3.6816	1.9127
307	4.6073	1.8577
308	4.0475	1.8504
309	4.2828	1.8528
310	3.5124	1.916
311	4.69	1.872
312	3.4236	1.8917
313	4.3616	1.9127
314	3.7482	2.0093
315	4.269	1.9038
316	4.7545	1.9224
317	4.1325	1.8423
318	3.7618	1.9267
319	4.6558	1.8486
320	4.7112	1.9763
321	4.7633	1.8037
322	4.196	1.9654
323	4.8026	1.9288
324	4.5113	1.7573
325	4.2084	1.875
326	4.1868	1.9455
327	3.8602	2.0864
328	3.6779	1.8234
329	3.8552	2.0443
330	4.6367	1.8228
331	4.2714	1.99
332	3.801	1.8848
333	4.7194	1.9975
334	4.7878	1.8832
335	4.6812	1.8889
336	4.6036	1.759
337	3.8299	1.8114
338	3.5362	1.9523
339	4.4305	1.7511
340	3.8803	2.1285
341	3.7849	1.9277
342	3.6835	1.986
343	4.7855	1.9206
344	3.3397	1.8659
345	3.6069	1.9084
346	4.5966	1.8066
347	3.6228	2.0386
348	4.06	2.0378
349	3.3409	1.8625
350	4.9167	2.0343
351	4.1386	2.0671
352	4.7242	1.784
353	3.5024	1.9035
354	3.7282	1.8894
355	3.8105	1.9095
356	3.7973	2.0435
357	4.7548	1.8709
358	4.0283	1.9008
359	4.4601	1.7266
360	4.0917	1.8318
361	3.5474	1.9188
362	4.6886	1.8907
363	4.5984	2.028
364	4.5542	1.7608
365	3.7949	1.8043
366	4.401	1.9513
367	4.8328	1.8674
368	4.7491	1.8605
369	4.219	2.0113
370	4.662	1.8255
371	4.667	1.7915
372	4.5651	1.7503
373	4.5721	1.7418
374	3.5929	2.0808
375	3.6305	2.1166
376	3.7636	1.9026
377	3.6368	1.8892
378	3.5886	1.984
379	3.9352	2.0713
380	3.3725	1.9001
381	4.6479	1.8043
382	3.7526	1.8983
383	3.8528	1.933
384	4.6319	1.8026
385	4.5917	1.7666
386	4.5317	1.7382
387	4.6001	1.8104
388	4.5213	1.7531
389	4.806	1.9532
390	3.4843	1.9425
391	4.5571	1.7897
392	4.819	1.9206
393	4.1199	1.8851
394	4.6391	1.8987
395	4.0855	1.8669
396	4.2847	1.8269
397	4.5763	1.7493
398	3.5893	1.9552
399	4.4911	1.7617
400	4.5284	1.8337
401	4.802	1.8867
402	3.57	2.0481
403	4.0263	1.8965
404	3.6834	2.0323
405	4.7858	1.884
406	3.7276	1.968
407	3.7875	1.9055
408	4.717	1.8441
409	4.3678	1.7098
410	4.1565	1.9494
411	4.5921	1.8129
412	3.8975	1.8818
413	4.6137	1.8252
414	3.6066	1.8654
415	3.7197	1.8344
416	3.8672	1.9026
417	4.5603	1.8153
418	3.5973	1.9867
419	3.6132	1.9107
420	3.7832	1.9647
421	3.8266	1.9557
422	4.3567	1.6668
423	3.3776	1.8543
424	3.9453	2.0162
425	3.8842	2.0219
426	4.2255	1.8611
427	3.8136	1.9026
428	4.2303	1.9677
429	4.5545	1.9104
430	4.5515	2.0301
431	4.0536	2.1155
432	3.4934	1.8926
433	3.6337	2.0006
434	3.737	1.964
435	3.7686	1.9731
436	4.6255	1.8953
437	4.6966	1.8394
438	3.5605	1.8781
439	4.7358	1.8424
440	4.4403	1.7271
441	4.5612	1.7506
442	4.5902	1.8125
443	4.888	1.9383
444	4.1461	1.9441
445	3.6203	1.828
446	4.1924	2.028
447	3.5139	1.958
448	4.4709	1.7752
449	3.5375	1.8547
450	4.7178	1.8193
451	4.2606	1.8483
452	4.7694	1.8545
453	3.7922	1.9369
454	4.8922	1.9525
455	4.6144	1.8285
456	4.7593	1.9656
457	3.6094	2.0325
458	3.7519	2.0062
459	4.1178	1.7269
460	4.0392	1.8986
461	4.6155	1.7928
462	4.4547	1.7617
463	4.7253	1.941
464	3.5826	1.8935
465	3.5324	1.9149
466	3.8049	1.9817
467	4.4431	1.7402
468	3.6499	1.9041
469	3.4733	1.8577
470	3.9449	1.9096
471	3.7147	2.1158
472	4.5666	1.8399
473	3.6685	1.9313
474	4.5784	1.7835
475	3.6731	1.908
476	4.0334	1.9878
477	4.5627	1.8262
478	3.421	1.9147
479	4.6383	1.781
480	3.7566	2.0014
481	4.6493	1.8788
